"s","nationality","birthYear"
"http://fr.dbpedia.org/resource/Aarne_Ehojoki","http://fr.dbpedia.org/resource/Finlande",1913
"http://fr.dbpedia.org/resource/Aarne_Ervi","http://fr.dbpedia.org/resource/Finlande",1910
"http://fr.dbpedia.org/resource/Aarne_Hytönen","http://fr.dbpedia.org/resource/Finlande",1901
"http://fr.dbpedia.org/resource/Aarno_Ruusuvuori","http://fr.dbpedia.org/resource/Finlande",1925
"http://fr.dbpedia.org/resource/Abel_Camille_Filuzeau","http://fr.dbpedia.org/resource/France",1860
"http://fr.dbpedia.org/resource/Achille-Jacques_Fédel","http://fr.dbpedia.org/resource/France",1795
"http://fr.dbpedia.org/resource/Achille_Ambialet","http://fr.dbpedia.org/resource/France",1838
"http://fr.dbpedia.org/resource/Adam_Dettloff","http://fr.dbpedia.org/resource/Autriche",1851
"http://fr.dbpedia.org/resource/Adolf_Láng","http://fr.dbpedia.org/resource/Hongrois",1848
"http://fr.dbpedia.org/resource/Adolf_Melander","http://fr.dbpedia.org/resource/Suède",1845
"http://fr.dbpedia.org/resource/Adolf_von_Hildebrand","http://fr.dbpedia.org/resource/Empire_allemand",1847
"http://fr.dbpedia.org/resource/Adolphe_Fraisse","http://fr.dbpedia.org/resource/Suisse",1835
"http://fr.dbpedia.org/resource/Adolphe_Lance","http://fr.dbpedia.org/resource/France",1813
"http://fr.dbpedia.org/resource/Adolphe_Samyn","http://fr.dbpedia.org/resource/Belgique",1842
"http://fr.dbpedia.org/resource/Adolphe_Thiers_(architecte)","http://fr.dbpedia.org/resource/France",1878
"http://fr.dbpedia.org/resource/Adriano_Cristofali","http://fr.dbpedia.org/resource/Italie",1718
"http://fr.dbpedia.org/resource/Agis-Léon_Ledru","http://fr.dbpedia.org/resource/France",1816
"http://fr.dbpedia.org/resource/Aimable_Delune","http://fr.dbpedia.org/resource/Belgique",1866
"http://fr.dbpedia.org/resource/Aino_Aalto","http://fr.dbpedia.org/resource/Finlande",1894
"http://fr.dbpedia.org/resource/Akseli_Toivonen","http://fr.dbpedia.org/resource/Finlande",1887
"http://fr.dbpedia.org/resource/Al_Baxter","http://fr.dbpedia.org/resource/Australie",1977
"http://fr.dbpedia.org/resource/Alajos_Hauszmann","http://fr.dbpedia.org/resource/Hongrois",1847
"http://fr.dbpedia.org/resource/Alar_Kotli","http://fr.dbpedia.org/resource/Estonie",1904
"http://fr.dbpedia.org/resource/Albert_Ballu","http://fr.dbpedia.org/resource/France",1849
"http://fr.dbpedia.org/resource/Albert_Nyberg","http://fr.dbpedia.org/resource/Finlande",1877
"http://fr.dbpedia.org/resource/Albert_Speer","http://fr.dbpedia.org/resource/Allemagne",1905
"http://fr.dbpedia.org/resource/Alberto_Izzo","http://fr.dbpedia.org/resource/Italie",1932
"http://fr.dbpedia.org/resource/Alberto_Sartoris","http://fr.dbpedia.org/resource/Italie",1901
"http://fr.dbpedia.org/resource/Aldo_Rossi","http://fr.dbpedia.org/resource/Italie",1931
"http://fr.dbpedia.org/resource/Alejandro_Aravena","http://fr.dbpedia.org/resource/Chili",1967
"http://fr.dbpedia.org/resource/Aleksandrs_Birzenieks","http://fr.dbpedia.org/resource/Lettons",1893
"http://fr.dbpedia.org/resource/Alessandro_Moscardi","http://fr.dbpedia.org/resource/Italie",1969
"http://fr.dbpedia.org/resource/Alessandro_Sanquirico","http://fr.dbpedia.org/resource/Italie",1777
"http://fr.dbpedia.org/resource/Alexandre_Jean-Baptiste_Guy_de_Gisors","http://fr.dbpedia.org/resource/France",1762
"http://fr.dbpedia.org/resource/Alexandre_Rodtchenko","http://fr.dbpedia.org/resource/Russie",1891
"http://fr.dbpedia.org/resource/Alexandre_Vitberg","http://fr.dbpedia.org/resource/Russie",1787
"http://fr.dbpedia.org/resource/Alexeï_Douchkine","http://fr.dbpedia.org/resource/Soviétiques",1903
